id,ego_x,ego_y,ego_vx,ego_vy
0,-101.68760391235352,-72.29407836914064,0.6884581446647644,5.916783332824707
0,-101.61885543823243,-71.70185424804689,0.6816357970237732,5.934329509735107
0,-101.55103775024415,-71.10932495117189,0.6666302680969238,5.899428367614746
0,-101.4844598388672,-70.51873352050782,0.6602945923805237,5.921012878417969
0,-101.41868301391602,-69.92661621093751,0.6493827700614929,5.925215244293213
0,-101.35387130737305,-69.3338885498047,0.6417670249938965,5.93452787399292
0,-101.28995605468751,-68.7402606201172,0.630394458770752,5.942380905151367
0,-101.22704025268555,-68.14585449218751,0.6226797699928284,5.950209617614746
0,-101.16503997802735,-67.5506854248047,0.6110153794288635,5.957974910736084
1,-105.78843780517579,-105.04900695800782,0.0,0.0
1,-105.78810592651368,-105.04571105957032,0.014038908295333385,0.1372704803943634
1,-105.78808303833009,-105.02982666015626,-0.028486037626862526,0.2539582848548889
1,-105.78878494262696,-105.00179626464845,0.028877167031168938,0.3870808780193329
1,-105.78533264160157,-104.96036865234376,0.05468624457716942,0.5232448577880859
1,-105.77954956054688,-104.90528442382814,0.07105568051338196,0.660353422164917
1,-105.7721681213379,-104.83646728515626,0.08520425111055374,0.7976758480072021
1,-105.76337524414063,-104.75391723632814,0.09877696633338928,0.9350565671920776
1,-105.75322814941407,-104.65763427734376,0.1119358018040657,1.0724811553955078
1,-105.74177642822266,-104.54761840820314,0.12464328855276108,1.209952712059021
1,-105.72906204223634,-104.42386962890626,0.1369694024324417,1.347464919090271
1,-105.71510787963868,-104.28638793945314,0.14906495809555054,1.4850057363510132
1,-105.69995971679688,-104.13514282226564,0.16053406894207,1.6226071119308472
1,-105.68367095947266,-103.9701190185547,0.1716357171535492,1.7602488994598389
1,-105.66626449584962,-103.79136230468751,0.18267592787742615,1.8979040384292603
1,-105.6477670288086,-103.59879638671876,0.19310058653354645,2.035616159439087
1,-105.62820526123048,-103.39249755859376,0.20388716459274292,2.173305034637451
1,-105.60757919311524,-103.17240478515626,0.21414975821971893,2.311039686203003
1,-105.58589645385743,-102.93856384277345,0.22512680292129517,2.448718547821045
1,-105.56312271118165,-102.69092895507814,0.23591367900371552,2.5864133834838867
1,-105.53924270629884,-102.42954589843751,0.24753352999687195,2.7240347862243652
1,-105.51418395996095,-102.15441467285157,0.25978630781173706,2.861598491668701
1,-105.48788162231446,-101.86548950195314,0.272688090801239,2.9991002082824707
1,-105.46024795532227,-101.56283142089845,0.2870948314666748,3.136460065841675
1,-105.43117233276368,-101.24644042968751,0.3021240830421448,3.2737534046173096
1,-105.40058990478516,-100.91631652832032,0.31768590211868286,3.4109880924224854
1,-105.36843582153321,-100.57245971679689,0.3341606557369232,3.548128366470337
1,-105.33460327148438,-100.21491577148439,0.3519632816314697,3.685131788253784
1,-105.29896636962891,-99.84366943359376,0.3711318373680115,3.8219900131225586
1,-105.26138397216798,-99.45873596191407,0.39167922735214233,3.9586973190307617
1,-105.2217301940918,-99.06014587402345,0.41354697942733765,4.0952534675598145
1,-105.17986770629884,-98.64789916992189,0.43677109479904175,4.231650352478027
1,-105.13566299438477,-98.22199584960939,0.4613102674484253,4.367888927459717
1,-105.08898635864259,-97.7824969482422,0.4871036410331726,4.50396728515625
1,-105.03971954345704,-97.32938720703126,0.5140095949172974,4.639896869659424
1,-104.98774810791016,-96.86268188476564,0.5419565439224243,4.7756805419921875
1,-104.93297286987305,-96.38239624023439,0.5707697868347168,4.911335468292236
1,-104.87530990600587,-95.88856079101564,0.6002942323684692,5.046876430511475
1,-104.81469055175782,-95.38114501953126,0.6303525567054749,5.182321071624756
1,-104.7510614013672,-94.86019470214845,0.6608107686042786,5.317687034606934
1,-104.6843881225586,-94.3257098388672,0.6914526224136353,5.452996730804443
1,-104.61465927124024,-93.77770568847657,0.7221375107765198,5.5882744789123535
1,-104.54186721801759,-93.21616699218751,0.7527452111244202,5.723535537719727
1,-104.46601959228516,-92.64110900878907,0.7831175327301025,5.858798503875732
1,-104.3871469116211,-92.0525164794922,0.8131024241447449,5.994091987609863
1,-104.30528732299805,-91.45038940429689,0.8426807522773743,6.129421710968018
1,-104.22047897338868,-90.83471252441407,0.8717812299728394,6.264798164367676
1,-104.13276763916016,-90.20551635742189,0.9003196358680725,6.400238990783691
1,-104.04221817016602,-89.5627703857422,0.9282046556472778,6.535757541656494
1,-103.94888778686524,-88.90647460937501,0.9555565714836121,6.6713433265686035
1,-103.85282608032227,-88.23662902832032,0.982343316078186,6.806996822357178
1,-103.75409790039063,-87.55320312500001,1.0085126161575317,6.942734718322754
1,-103.65275665283204,-86.85621215820314,1.034205436706543,7.078535556793213
1,-103.54885955810548,-86.14564086914064,1.0593931674957275,7.214404582977295
1,-103.4424447631836,-85.42148925781251,1.0841807126998901,7.350327968597412
1,-103.33371444702149,-84.68371154785157,1.1037441492080688,7.487022876739502
1,-103.2230958557129,-83.93224670410157,1.119669795036316,7.624244213104248
1,-103.11126419067384,-83.1670184326172,1.1225372552871704,7.763309001922607
1,-102.99889083862305,-82.38791992187501,1.1295922994613647,7.901776313781738
